,Estimated HIV Prevalence% - (Ages 15-49),Continents,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
13,Australia,OC,,,,,0.012682938,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
14,Austria,EU,,,0.010187591,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4
15,Azerbaijan,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
16,Bahamas,NA,0.01,,,,,,,,,,,3.6,3.8,3.9,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,2.9,2.8,2.8
17,Bahrain,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
19,Barbados,NA,0.02767648,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,0.9,0.9,0.9
20,Belarus,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4
21,Belgium,EU,,,,0.014146531,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
22,Belize,NA,,,,,,,,,,,,0.5,0.7,1.0,1.2,1.4,1.5,1.6,1.8,1.9,2.0,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
23,Benin,AF,,,,,,0.011875633,,,,,,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2
24,Bermuda,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bhutan,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
26,Bolivia,SA,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
27,Bosnia and Herzegovina,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Botswana,AF,0.105976053,,,,,,,,,,,3.5,5.1,7.3,10.1,13.3,16.6,19.7,22.2,24.1,25.3,26.0,26.3,26.3,26.1,25.8,25.5,25.3,25.1,24.9,24.1,23.7,23.4
29,Brazil,SA,0.09447913,,,,,,,,,,,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.3,0.3,0.3
30,British Virgin Islands,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Brunei,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bulgaria,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,Burkina Faso,AF,0.01,,,,,,,,,,,3.9,4.0,3.9,3.8,3.6,3.4,3.2,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.2,1.1
34,Burundi,AF,0.015913875,,,,,,,,,,,3.9,4.5,5.1,5.5,5.8,5.9,5.9,5.8,5.7,5.4,5.2,5.0,4.7,4.5,4.2,4.0,3.8,3.6,3.5,1.6,1.4,1.3
35,Cambodia,AS,,,,,,,0.01,,,,,0.5,0.8,1.0,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6
36,Cameroon,AF,,0.012524627,,,,,,,,,,0.6,1.0,1.6,2.5,3.4,4.2,4.8,5.1,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,4.8,4.7,4.6
37,Canada,NA,0.012998487,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
38,Cape Verde,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
39,Cayman Islands,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Central African Republic,AF,0.113034777,,,,,,,,,,,3.1,4.6,6.3,7.9,9.0,9.7,10.1,10.1,10.0,9.8,9.4,8.9,8.4,7.8,7.2,6.6,6.1,5.5,5.1,5.1,4.9,4.6
41,Chad,AF,0.039876698,,,,,,,,,,,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.0,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.4,3.2,3.2,3.1
42,Channel Islands,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chile,SA,,,,,,,0.009688619,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
44,China,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
45,Christmas Island,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cocos Island,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Colombia,SA,,,,,,0.012153094,,,,,,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5
48,Comoros,AF,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1
49,"Congo, Dem. Rep.",No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Congo, Rep.",No continent,0.01,,,,,,,,,,,5.2,5.2,5.0,4.8,4.6,4.4,4.3,4.1,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.3,3.3,3.3
51,Cook Is,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Costa Rica,NA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
53,Cote d'Ivoire,No continent,0.123178372,,,,,,,,,,,2.4,3.3,4.4,5.5,6.4,7.1,7.4,7.5,7.4,7.2,6.9,6.5,6.1,5.7,5.3,4.8,4.4,4.1,3.7,3.4,3.2,3.0
54,Croatia,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
55,Cuba,NA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
56,Cyprus,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
